x,hiv_upper,hiv,hiv_lower,aids_upper,aids,aids_lower,med
1990,2.29904,2.00627,1.79509,0.429702,0.313734,0.251679,-0.0584547
1991,2.51288,2.26408,2.07846,0.547552,0.408422,0.322636,-0.0373299
1992,2.78763,2.50909,2.28467,0.665401,0.503109,0.401669,-0.0162051
1993,3.09155,2.78988,2.48208,0.80647,0.59453,0.489195,0.00491979
1994,3.35142,3.08811,2.87034,0.949749,0.711095,0.588642,0.0260446
1995,3.50721,3.27029,3.08303,1.0922,0.836082,0.699425,0.0471695
1996,3.57795,3.38125,3.1866,1.28757,0.97149,0.801856,0.0682943
1997,3.57049,3.39246,3.19887,1.49225,1.09948,0.898508,0.0894191
1998,3.4929,3.40175,3.2049,1.69249,1.19121,1.00761,0.110544
1999,3.39978,3.20317,3.09698,1.89601,1.38411,1.18873,0.131669
2000,3.29644,3.09304,2.99185,2.09961,1.59909,1.29956,0.152794
2001,3.19306,3.00113,2.89092,2.30584,1.68971,1.40284,0.175001
2002,3.0944,2.89149,2.79128,2.48347,1.80831,1.50672,0.216621
2003,2.99573,2.78659,2.69354,2.59239,1.98414,1.61059,0.258242
2004,2.89885,2.69117,2.59709,2.66038,1.99649,1.68921,0.347255
2005,2.80266,2.67752,2.50392,2.70946,1.99624,1.68755,0.46224
2006,2.71495,2.5874,2.42829,2.59762,1.99599,1.59224,0.60148
2007,2.68813,2.5028,2.37556,2.49761,1.87139,1.49692,0.796397
2008,2.59031,2.42398,2.2868,2.38838,1.71592,1.48773,1.03912
2009,2.51083,2.36528,2.21714,2.19483,1.70056,1.38908,1.2935
2010,2.49039,2.31484,2.18934,2.10065,1.59931,1.29838,1.50094
2011,2.38345,2.29567,2.10347,2.00801,1.49351,1.27474,1.82
2012,2.3832,2.19879,2.00441,1.88268,1.3935,1.18205,2.17921
2013,2.29153,2.09302,1.91549,1.70492,1.29461,1.08562,2.56811
2014,2.18414,2.01344,1.89505,1.59455,1.19539,0.983444,2.97859
2015,2.40651,2.08332,1.78056,1.29202,1.09458,0.933473,3.38521
